(75694, 241551)
(69400, 265995)
(91919, 677179)
(82010, 268365)
(81670, 294288)
(79008, 279302)
(106630, 365498)
(203032, 682101)
(90121, 660292)
(97589, 292106)
(81240, 275934)
(86889, 277095)
(82040, 278460)
(77300, 279877)
(82035, 278317)
(59731, 343334)
(58418, 201568)
(57922, 197800)
(59915, 211345)
(62135, 216641)
(61920, 210858)
(62338, 220705)
(59956, 203431)
(60145, 217736)
(224387, 283311)
(71742, 235241)
(213492, 246020)
(69221, 233969)
(67222, 226902)
(66594, 231528)
(66455, 225824)
(69149, 245183)
(72251, 249624)
(71611, 243723)
(64718, 219449)
(114968, 912155)
(86988, 291063)
(90661, 292453)
(86760, 296763)
(86461, 292756)
(83177, 278488)
(83593, 292488)
(82021, 313186)
(212414, 530863)
(128053, 508762)
(184907, 309318)
(89949, 305388)
(90102, 335810)
(88569, 947055)
(79982, 266688)
(78215, 265662)
(66552, 480097)
(81895, 280747)
(74889, 255562)
(74831, 232700)
(64140, 217664)
(64440, 218803)
(64398, 235701)
(69350, 234159)
(69219, 235201)
(64126, 223258)
(63800, 217855)
(64388, 218498)
(64276, 224423)
(211088, 470841)
(69074, 235662)
(67620, 244849)
(66552, 230849)
(683122, 343870)
(91989, 305974)
(90433, 348935)
(94087, 302852)
(85908, 296270)
(115270, 404206)
(257022, 266888)
(79733, 474526)
(227619, 596226)
(157468, 347587)
(75013, 265290)
(78354, 443230)
(79339, 266198)
(73854, 262132)
(78342, 271370)
(78439, 265643)
(199785, 259636)
(78170, 678217)
(112517, 497927)
(76093, 255474)
(75078, 257847)
(75551, 261132)
(72301, 246529)
(72536, 245029)
(69840, 240638)
(69796, 234924)
(69217, 243006)
(75082, 260281)
(75753, 256485)
(69788, 236645)
(66292, 241631)
(66159, 234829)
(86538, 236978)
(69880, 977991)
(105830, 638822)
(92164, 305601)
(95103, 348288)
(90256, 307303)
(82299, 277359)
(148587, 457470)
(78457, 266982)
(78118, 267619)
(294092, 259225)
(72426, 249115)
(72616, 280444)
(98799, 232546)
(62338, 215428)
(63440, 210585)
(62095, 217671)
(69364, 241684)
(70061, 233574)
(66747, 225965)
